Activity Name,Strategic Direction,Strategic Goal,Recovery Time Objective (RTO),Maximum Acceptable Outage (MAO),Responsible Department,Potential Risks,Impact Level,Likelihood of Occurrence,Priority Categorization,Supporting System/Software,System Category,Risk Score,Criticality,Risk Assessment,Impact Type,0-1 hour,1-4 hours,4-8 hours,8-24 hours,>24 hours,Min Hour for High Impact
AI-powered crime prediction analysis,Community Happiness,Efficient and effective management of material resources,8-24 hours,2 days,General Administration of Excellence and Leadership,Artificial fires,3 - Medium,4 - Very Likely,4-Critical,Smart Police Station Portal,Smart Services,12,4- Low,High,Impact on reputation,2-Medium,1-High,1-High,1-High,1-High,1-4 hours
AI-powered crime prediction analysis,Community Happiness,Emergency Response,8-24 hours,2 days,Police Judicial Council,Corruption of data and information,3 - Medium,3 - Possible,3-High,Payroll and Attendance Software,Human Resources,9,4- Low,Medium,Impact on customers,3-Low,1-High,1-High,1-High,1-High,1-4 hours
AI-powered crime prediction analysis,Innovation in institutional capabilities,Develop institutional performance efficiently and effectively,8-24 hours,2 days,General Directorate of Punitive and Correctional Institutions,Sabotage by members of the force,1 - Very Low,4 - Very Likely,3-High,AI Surveillance & Monitoring Platform,Security,4,4- Low,Low,Impact on operations,3-Low,3-Low,2-Medium,1-High,1-High,8-24 hours
AI-powered crime prediction analysis,Community Happiness,Develop institutional performance efficiently and effectively,8-24 hours,2 days,General Directorate of Criminal Investigations,Demonstrations,4 - High,3 - Possible,3-High,AI Surveillance & Monitoring Platform,Security,12,4- Low,High,Financial impact,1-High,1-High,1-High,1-High,1-High,0-1 hour
AI-powered crime prediction analysis,,,8-24 hours,2 days,,,,,,,,9.25,4- Low,,Regulatory Impact,2-Medium,1-High,1-High,1-High,1-High,1-4 hours
AI-powered crime prediction analysis,,,8-24 hours,2 days,,,,,,,,9.25,4- Low,,Legal impact,2-Medium,3-Low,1-High,1-High,1-High,4-8 hours
Acceptance and processing of found items,Innovation in institutional capabilities,Promote happiness and quality of life,>24 hours,4 hours,Internal Audit Office,Suspension of the work of the facility due to an emergency,3 - Medium,1 - Very Rare,4-Critical,Data Center Management Console,IT Infrastructure,3,5- Very low,Low,Impact on reputation,2-Medium,2-Medium,1-High,1-High,1-High,4-8 hours
Acceptance and processing of found items,Innovation in institutional capabilities,Promote happiness and quality of life,>24 hours,4 hours,Internal Audit Office,Cyber attacks,2 - Low,4 - Very Likely,4-Critical,Traffic Violation System,Traffic Management,8,5- Very low,Medium,Impact on customers,3-Low,3-Low,1-High,1-High,1-High,4-8 hours
Acceptance and processing of found items,Innovation in institutional capabilities,Promote happiness and quality of life,>24 hours,4 hours,Internal Audit Office,Angry Power Associate,4 - High,4 - Very Likely,4-Critical,Access Control System,Security,16,5- Very low,Very High,Impact on operations,2-Medium,2-Medium,1-High,1-High,1-High,4-8 hours
Acceptance and processing of found items,,,>24 hours,4 hours,,,,,,,,9,5- Very low,,Financial impact,3-Low,2-Medium,2-Medium,1-High,1-High,8-24 hours
